















Bisharp, Meowstic, Conkeldurr, Primarina, Dragapult, Dusclops
Dragapult, Togekiss, Dusclops, Conkeldurr, Primarina, Tyranitar
Togekiss, Gothitelle, Incineroar, Snorlax, Lapras, Hitmontop
Coalossal, Dragapult, Gastrodon, Dusclops, Conkeldurr, Togekiss
Sableye, Lapras, Whimsicott, Chandelure, Conkeldurr, Roserade
Sableye, Mimikyu, Milotic, Raichu, Rhyperior
Excadrill, Tyranitar, Rotom-Wash, Dragapult, Sylveon, Togekiss
Glalie, Ninetales-Alola, Excadrill, Milotic, Togekiss, Dragapult
Excadrill, Tyranitar, Duraludon, Togekiss, Gastrodon, Incineroar
Dusclops, Indeedee-F, Excadrill, Tyranitar, Primarina, Incineroar
Bisharp, Meowstic, Conkeldurr, Primarina, Dragapult, Dusclops
Excadrill, Whimsicott, Arcanine, Gastrodon-East, Clefairy, Lapras
Tyranitar, Excadrill, Incineroar, Whimsicott, Duraludon, Dusclops
Tyranitar, Togekiss, Gastrodon, Rotom-Heat, Dragapult, Conkeldurr
Tyranitar, Excadrill, Incineroar, Whimsicott, Duraludon, Dusclops
Tyranitar, Togekiss, Gastrodon, Rotom-Heat, Dragapult, Conkeldurr
Coalossal, Conkeldurr, Dusclops, Togekiss, Dragapult, Gastrodon
Rhyperior, Sylveon, Duraludon, Venusaur, Bronzong, Whimsicott
Charizard, Venusaur, Torkoal, Conkeldurr, Dusclops, Duraludon
Ferrothorn, Orbeetle, Milotic, Rhyperior, Dusclops, Grimmsnarl
Aegislash, Togekiss, Whimsicott, Incineroar, Lapras, Excadrill
Gothitelle, Primarina, Gengar, Rotom-Mow, Incineroar, Gothorita
Charizard, Venusaur, Torkoal, Conkeldurr, Dusclops, Duraludon
Dusclops, Lapras, Torkoal, Venusaur, Togekiss, Conkeldurr
Togekiss, Ferrothorn, Dusclops, Dragapult, Primarina, Chandelure
Mimikyu, Conkeldurr, Arcanine, Corviknight, Rotom-Wash, Alcremie
Arcanine, Whimsicott, Dracovish, Braviary, Conkeldurr, Copperajah
Leafeon, Torkoal, Rhyperior, Dusclops, Charizard, Togekiss
Venusaur, Primarina, Excadrill, Mandibuzz, Orbeetle, Goodra
Persian-Alola, Venusaur, Torkoal, Conkeldurr, Charizard, Gastrodon
Clefable, Venusaur, Rotom-Heat, Grimmsnarl, Primarina, Jellicent
Charizard, Venusaur, Torkoal, Conkeldurr, Dusclops, Duraludon
Jolteon, Toxtricity, Sableye, Indeedee-F, Runerigus, Copperajah
Gyarados, Rhyperior, Clefairy, Oranguru, Ferrothorn, Rotom-Wash
Bisharp, Whimsicott, Excadrill, Charizard, Dracozolt, Dracovish
Kommo-o, Gastrodon, Togekiss, Incineroar, Aegislash, Rotom-Wash
Dragapult, Excadrill, Dusclops, Milotic, Indeedee-F, Ferrothorn
Togekiss, Blastoise, Tyranitar, Excadrill, Darmanitan-Galar, Whimsicott
Jolteon, Toxtricity, Sableye, Indeedee-F, Runerigus, Copperajah
Dragapult, Sableye, Arcanine, Ferrothorn, Dusclops, Rotom-Wash
Durant, Milotic, Togekiss, Conkeldurr, Incineroar, Mimikyu
Lucario, Whimsicott, Dracovish, Clefable, Braviary, Cinderace
Excadrill, Tyranitar, Milotic, Chandelure, Rotom-Mow, Sylveon
Pikachu, Dragapult, Togekiss, Whimsicott, Rotom-Wash, Excadrill
Coalossal, Conkeldurr, Dusclops, Togekiss, Dragapult, Gastrodon
Charizard, Venusaur, Torkoal, Conkeldurr, Dusclops, Duraludon
Gyarados, Milotic, Pikachu, Whimsicott, Incineroar, Duraludon
Pikachu, Toxtricity, Togekiss, Barraskewda, Liepard, Jellicent
Gothitelle, Durant, Milotic, Tyranitar, Sylveon, Incineroar
Raichu, Lapras, Conkeldurr, Dusclops, Arcanine, Togekiss
Charizard, Sirfetch'd, Torkoal, Dusclops, Tyranitar, Togekiss
Dragapult, Sylveon, Dusclops, Cinderace, Morpeko, Gyarados
Whimsicott, Inteleon, Dracozolt, Incineroar, Corviknight, Mudsdale
Tyranitar, Indeedee-F, Arcanine, Whimsicott, Dragapult, Gyarados
Drapion, Dracovish, Whimsicott, Cofagrigus, Appletun, Rhyperior
Meowstic, Durant, Gyarados, Duraludon, Rotom-Heat, Conkeldurr
Grimmsnarl, Toxicroak, Morpeko, Liepard, Scrafty
Charizard, Ninetales, Liepard, Venusaur, Conkeldurr, Togekiss
Dusclops, Rhyperior, Venusaur, Gastrodon, Conkeldurr, Clefable
Durant, Togekiss, Charizard, Rhyperior, Grimmsnarl, Conkeldurr
Rotom-Heat, Reuniclus, Corviknight, Togekiss, Sableye, Gengar
Incineroar, Silvally-*, Torkoal, Coalossal, Butterfree, Persian-Alola
Primarina, Torkoal, Dusclops, Venusaur, Conkeldurr, Arcanine
Gyarados, Mawile, Dragapult, Excadrill, Tyranitar, Roserade
Charizard, Venusaur, Torkoal, Mudsdale, Grimmsnarl, Rotom-Wash
Grimmsnarl, Conkeldurr, Raichu, Dragapult, Coalossal, Gyarados
Liepard, Hatterene, Torkoal, Dhelmise, Primarina, Claydol
Rotom-Mow, Tyranitar, Excadrill, Scrafty, Braviary, Jellicent
Passimian, Whimsicott, Torkoal, Dragapult, Dusclops, Rhyperior
Charizard, Venusaur, Torkoal, Persian-Alola, Dusclops, Conkeldurr
Weezing-Galar, Milotic, Dragapult, Arcanine, Ferrothorn, Cinderace
Coalossal, Gastrodon-East, Togekiss, Conkeldurr, Dragapult, Reuniclus
Sirfetch'd, Whimsicott, Dusclops, Drifblim, Excadrill, Duraludon
Ferrothorn, Gyarados, Chandelure, Togekiss, Dracozolt, Scrafty
Torkoal, Venusaur, Lapras, Grimmsnarl, Gothitelle, Conkeldurr
Grimmsnarl, Toxtricity, Corviknight, Tyranitar, Arcanine, Gastrodon
Charizard, Ninetales, Liepard, Venusaur, Conkeldurr, Togekiss
Charizard, Torkoal, Oranguru, Sylveon, Rhydon, Shiftry
Leafeon, Torkoal, Rhyperior, Dusclops, Charizard, Togekiss
Corviknight, Pikachu, Flygon, Sableye, Inteleon, Roserade
Excadrill, Persian-Alola, Dracozolt, Primarina, Whimsicott, Chandelure
Orbeetle, Liepard, Conkeldurr, Wishiwashi, Incineroar, Mawile
Arcanine, Dragapult, Conkeldurr, Excadrill, Rotom-Wash, Togekiss
Hawlucha, Swoobat, Tyranitar, Excadrill, Dragapult, Primarina
Dusclops, Rhyperior, Gastrodon, Conkeldurr, Chandelure, Ferrothorn
Rotom-Wash, Incineroar, Togekiss, Dragapult, Excadrill, Passimian
Togekiss, Excadrill, Tyranitar, Arcanine, Rotom-Wash, Tsareena
Primarina, Darmanitan-Galar, Whimsicott, Haxorus, Incineroar, Bronzong
Beartic, Ninetales-Alola, Dusclops, Indeedee, Golisopod, Coalossal
Corviknight, Dragapult, Snorlax, Conkeldurr, Mimikyu, Ferrothorn
Dusclops, Tyranitar, Togekiss, Milotic, Conkeldurr, Togedemaru
Grimmsnarl, Toxtricity, Corviknight, Tyranitar, Arcanine, Gastrodon
Dracovish, Lapras, Whimsicott, Sylveon, Dusclops, Weezing-Galar
Grimmsnarl, Arcanine, Tyranitar, Corviknight, Gastrodon, Sylveon
Charizard, Ninetales, Liepard, Venusaur, Conkeldurr, Togekiss
Dragapult, Togekiss, Conkeldurr, Dusclops, Coalossal, Gastrodon
Blastoise, Indeedee-F, Accelgor, Tyranitar, Arcanine, Mimikyu
Excadrill, Tyranitar, Rotom-Mow, Dracovish, Incineroar, Conkeldurr
Durant, Raichu, Gyarados, Chandelure, Sylveon, Mudsdale
Sylveon, Gastrodon-East, Passimian, Whimsicott, Arcanine, Darmanitan-Galar
Durant, Raichu, Gyarados, Chandelure, Sylveon, Mudsdale
Sylveon, Gastrodon-East, Passimian, Whimsicott, Arcanine, Darmanitan-Galar
Dragapult, Rotom-Wash, Tyranitar, Togekiss, Incineroar, Excadrill
Lapras, Raichu, Togekiss, Dusclops, Arcanine, Conkeldurr
Ferrothorn, Indeedee-F, Dusclops, Hatterene, Gigalith, Incineroar
Gyarados, Mawile, Dragapult, Excadrill, Tyranitar, Roserade
Charizard, Ninetales, Liepard, Venusaur, Conkeldurr, Togekiss
Conkeldurr, Dusclops, Togedemaru, Togekiss, Crawdaunt, Indeedee-F
Excadrill, Tyranitar, Milotic, Togekiss, Lapras, Incineroar
Silvally-*, Araquanid, Hatterene, Dusclops, Butterfree, Indeedee
Wailord, Sableye, Weezing-Galar, Durant, Togekiss, Chandelure
Excadrill, Indeedee-F, Conkeldurr, Dragapult, Milotic, Gardevoir
Lapras, Incineroar, Excadrill, Dusclops, Conkeldurr, Togekiss
Braviary, Raichu, Conkeldurr, Incineroar, Togekiss, Lapras
Hatterene, Mudsdale, Torkoal, Aromatisse, Mandibuzz, Cinccino
Drednaw, Sableye, Charizard, Excadrill, Conkeldurr, Venusaur
Durant, Raichu, Gyarados, Chandelure, Sylveon, Mudsdale
Sylveon, Gastrodon-East, Passimian, Whimsicott, Arcanine, Darmanitan-Galar
Venusaur, Torkoal, Charizard, Conkeldurr, Togekiss, Incineroar
Grimmsnarl, Snorlax, Arcanine, Rotom-Wash, Gengar, Togekiss
Dusclops, Tyranitar, Togekiss, Milotic, Conkeldurr, Togedemaru
Lapras, Raichu, Mimikyu, Rillaboom, Conkeldurr, Salazzle
Charizard, Venusaur, Torkoal, Dusclops, Tyranitar, Togekiss
Milotic, Durant, Grimmsnarl, Dusclops, Sirfetch'd, Salazzle
Dracozolt, Whimsicott, Conkeldurr, Dusclops, Braviary, Milotic
Arcanine, Whimsicott, Braviary, Sylveon, Dragapult, Excadrill
Dhelmise, Hatterene, Conkeldurr, Torkoal, Indeedee-F, Rhyperior
Sylveon, Tyranitar, Gothitelle, Milotic, Durant, Arcanine
Snorlax, Ferrothorn, Dusclops, Milotic, Dragapult, Togekiss
Tyranitar, Dusclops, Primarina, Chandelure, Togekiss, Sirfetch'd
Corviknight, Togekiss, Excadrill, Rotom-Wash, Gastrodon, Conkeldurr
Hitmontop, Clefairy, Grimmsnarl, Frosmoth, Rotom-Fan, Excadrill
Wailord, Sableye, Weezing-Galar, Durant, Togekiss, Chandelure
Whimsicott, Charizard, Sylveon, Conkeldurr, Excadrill, Lapras
Torkoal, Charizard, Dusclops, Rhyperior, Gastrodon, Butterfree
Hawlucha, Ninetales-Alola, Dusclops, Gastrodon, Conkeldurr, Togekiss
Diggersby, Dusclops, Togekiss, Ferrothorn, Chandelure, Primarina
Grimmsnarl, Arcanine, Tyranitar, Corviknight, Gastrodon, Rotom-Mow
Whimsicott, Excadrill, Dracozolt, Incineroar, Duraludon, Milotic
Venusaur, Primarina, Rhyperior, Togekiss, Milotic, Corviknight
Hatterene, Rhyperior, Dusclops, Venusaur, Torkoal, Indeedee-F
Charizard, Venusaur, Ninetales, Bronzong, Rhyperior, Whimsicott
Dragapult, Coalossal, Gastrodon, Togekiss, Gigalith, Dhelmise
Sylveon, Tyranitar, Gothitelle, Milotic, Durant, Arcanine
Wailord, Sableye, Weezing-Galar, Durant, Togekiss, Chandelure
Gyarados, Stonjourner, Raichu, Clefairy, Rotom-Mow, Conkeldurr
Bisharp, Whimsicott, Chandelure, Lapras, Gyarados, Conkeldurr
Gyarados, Mawile, Dragapult, Excadrill, Tyranitar, Roserade
Jolteon, Togekiss, Rotom-Mow, Incineroar, Bronzong, Lapras
Slowpoke-Galar, Torkoal, Dracovish, Tyranitar, Corviknight, Conkeldurr
Seaking, Heliolisk, Lanturn, Shedinja, Raichu, Gastrodon-East
Conkeldurr, Primarina, Whimsicott, Dracozolt, Bisharp, Chandelure
Wailord, Sableye, Weezing-Galar, Durant, Togekiss, Chandelure
Primarina, Arcanine, Sylveon, Dragapult, Dusclops, Tyranitar
Sylveon, Milotic, Rotom-Heat, Tyranitar, Mimikyu, Excadrill
Tyranitar, Primarina, Mimikyu, Dusclops, Dragapult, Conkeldurr
Gengar, Gothitelle, Tyranitar, Arcanine, Braviary, Primarina
Arcanine, Lapras, Gengar, Clefairy, Gothitelle, Scrafty
Arcanine, Weavile, Sylveon, Dragapult, Inteleon, Excadrill
Alcremie, Togekiss, Lapras, Dusclops, Incineroar, Conkeldurr
Excadrill, Tyranitar, Rotom-Wash, Dragapult, Sylveon, Togekiss
Togekiss, Rotom-Wash, Tyranitar, Dragapult, Incineroar, Corviknight
Incineroar, Dusclops, Sylveon, Dracovish, Whimsicott, Diggersby
Weezing-Galar, Gastrodon, Dragapult, Excadrill, Rotom-Mow, Whimsicott
Dracozolt, Arcanine, Whimsicott, Tyranitar, Mimikyu, Primarina
Dracozolt, Tyranitar, Togekiss, Excadrill, Dragapult, Incineroar
Mamoswine, Rotom-Wash, Whimsicott, Incineroar, Duraludon, Togekiss
Togekiss, Dragapult, Incineroar, Excadrill, Clefairy, Rotom-Wash
Liepard, Hatterene, Indeedee-F, Milotic, Hawlucha, Arctozolt
Grimmsnarl, Lucario, Arcanine, Gastrodon-East, Goodra, Tyranitar
Cinderace, Swoobat, Dragapult, Conkeldurr, Togekiss, Chandelure
Pikachu, Clefairy, Durant, Chandelure, Primarina, Rotom-Mow
Haxorus, Whimsicott, Braviary, Rotom-Mow, Incineroar, Tyranitar
Dracovish, Rhyperior, Dusclops, Hatterene, Indeedee-F, Ferrothorn
Goodra, Duraludon, Grimmsnarl, Conkeldurr, Arcanine, Milotic
Goodra, Duraludon, Grimmsnarl, Conkeldurr, Arcanine, Milotic
Charizard, Diggersby, Corviknight, Torkoal, Venusaur, Dusclops
Silvally-*, Gallade, Charizard, Rillaboom, Mimikyu, Milotic
Coalossal, Dragapult, Gastrodon-East, Rotom-Mow, Conkeldurr, Togekiss
Appletun, Lapras, Raichu, Durant, Conkeldurr, Togekiss
Dusclops, Lapras, Torkoal, Venusaur, Togekiss, Conkeldurr
Tyranitar, Hippowdon, Gyarados, Pikachu, Braviary, Bronzong
Mimikyu, Dragapult, Excadrill, Incineroar, Darmanitan-Galar, Conkeldurr
Dusclops, Incineroar, Lapras, Conkeldurr, Dracovish, Whimsicott
Bronzong, Excadrill, Rotom-Wash, Dragapult, Tyranitar, Ferrothorn
Oranguru, Togekiss, Indeedee-F, Malamar, Torkoal, Dracozolt
Durant, Milotic, Chandelure, Conkeldurr, Whimsicott, Togekiss
Grimmsnarl, Hatterene, Togekiss, Sylveon, Ribombee, Whimsicott
Snorlax, Lapras, Wobbuffet, Togekiss, Indeedee, Scrafty
Passimian, Togekiss, Rotom-Wash, Excadrill, Arcanine, Grimmsnarl
Hawlucha, Lapras, Ferrothorn, Excadrill, Clefairy, Dragapult
Gengar, Hydreigon, Whimsicott, Corviknight, Primarina, Arcanine
Dragapult, Arcanine, Inteleon, Vikavolt, Darmanitan-Galar, Ferrothorn
Togekiss, Indeedee-F, Pikachu, Tyranitar, Chandelure, Excadrill
Jolteon, Togekiss, Ninetales, Venusaur, Hippowdon, Lapras
Coalossal, Dusclops, Gastrodon, Togekiss, Conkeldurr, Dragapult
Togekiss, Hatterene, Torkoal, Venusaur, Incineroar, Tyranitar
Pelipper, Dracovish, Ludicolo, Ferrothorn, Conkeldurr, Togekiss
Indeedee-F, Hatterene, Dusclops, Rhyperior, Torkoal, Venusaur
Ninetales, Charizard, Venusaur, Conkeldurr, Dusclops, Gastrodon
Grimmsnarl, Hatterene, Togekiss, Sylveon, Ribombee, Whimsicott
Alcremie-Mint-Cream, Chandelure, Milotic, Ninetales-Alola, Scrafty, Whimsicott
Arcanine, Dracovish, Dragapult, Whimsicott, Conkeldurr, Sylveon
Dracovish, Lapras, Whimsicott, Sylveon, Dusclops, Weezing-Galar
Togekiss, Excadrill, Charizard, Inteleon, Conkeldurr, Gengar
Lucario, Whimsicott, Mudsdale, Lapras, Raichu, Rotom-Wash
Dusclops, Togekiss, Primarina, Dhelmise, Incineroar, Conkeldurr
Arcanine, Dracovish, Dragapult, Whimsicott, Conkeldurr, Sylveon
Lapras, Raichu, Togekiss, Corviknight, Dusclops, Arcanine
Mimikyu, Toxtricity, Incineroar, Mudsdale, Cinderace, Vaporeon
Conkeldurr, Togekiss, Whimsicott, Duraludon, Rotom-Wash, Charizard
Seaking, Heliolisk, Lanturn, Shedinja, Raichu, Gastrodon-East
Togekiss, Dragapult, Torkoal, Gigalith, Toxtricity, Bronzong
Jolteon, Togekiss, Ninetales, Venusaur, Hippowdon, Lapras
Sableye, Duraludon, Conkeldurr, Ludicolo, Dusclops, Ferrothorn
Dragapult, Mimikyu, Primarina, Tyranitar, Dusclops, Ferrothorn
Noivern, Togedemaru, Durant, Gengar, Clefairy, Umbreon
Lucario, Whimsicott, Mudsdale, Lapras, Raichu, Rotom-Wash
Dragapult, Togekiss, Tyranitar, Excadrill, Incineroar, Rotom-Wash
Ninetales-Alola, Lapras, Durant, Incineroar, Gothitelle, Gengar
Silvally-*, Inteleon, Drifblim, Mimikyu, Sableye, Hitmontop
Cramorant, Clefairy, Kommo-o, Stonjourner, Dragapult, Toxtricity
Pikachu, Togekiss, Primarina, Incineroar, Darmanitan-Galar, Bisharp
Incineroar, Gastrodon-East, Corviknight, Mimikyu, Hatterene, Rotom-Mow
Excadrill, Hydreigon, Orbeetle, Hitmontop, Toxtricity, Grimmsnarl
Seaking, Heliolisk, Lanturn, Shedinja, Raichu, Gastrodon-East
Ninetales-Alola, Lapras, Durant, Incineroar, Gothitelle, Gengar
Milotic, Ninetales-Alola, Dragapult, Mandibuzz, Incineroar, Ferrothorn
Dracozolt, Whimsicott, Conkeldurr, Dusclops, Braviary, Milotic
Indeedee-F, Dusclops, Togekiss, Gigalith, Darmanitan-Galar, Rotom-Mow
Tyranitar, Primarina, Ferrothorn, Dusclops, Arcanine, Dragapult
Dusclops, Dragapult, Milotic, Ferrothorn, Arcanine, Mimikyu
Dusclops, Excadrill, Primarina, Tyranitar, Togekiss, Incineroar
Dragapult, Raichu, Togekiss, Arcanine, Snorlax, Milotic
Mimikyu, Rotom-Wash, Dragapult, Bisharp, Arcanine, Goodra
Charizard, Venusaur, Sableye, Tyranitar, Togekiss, Excadrill
Ninetales-Alola, Lapras, Durant, Incineroar, Gothitelle, Gengar
Arcanine, Butterfree, Gastrodon, Silvally-*, Tyranitar, Excadrill
Ninetales-Alola, Incineroar, Lapras, Morelull, Indeedee-F, Raichu
Snorlax, Dusclops, Rotom-Wash, Arcanine, Whimsicott, Togekiss
Primarina, Clefairy, Duraludon, Whimsicott, Arcanine, Passimian
Excadrill, Togekiss, Milotic, Incineroar, Roserade, Conkeldurr
Ninetales-Alola, Lapras, Durant, Incineroar, Gothitelle, Gengar
Togedemaru, Milotic, Togekiss, Tsareena, Dragapult, Incineroar
Inteleon, Goodra, Meowstic, Ninetales-Alola, Durant, Gothitelle
Arcanine, Lapras, Tyranitar, Dragapult, Whimsicott, Excadrill
Pikachu, Togekiss, Primarina, Incineroar, Darmanitan-Galar, Bisharp
Seaking, Heliolisk, Lanturn, Shedinja, Raichu, Gastrodon-East
Primarina, Conkeldurr, Chandelure, Whimsicott, Dracozolt, Bisharp
Braviary, Primarina, Incineroar, Dracozolt, Clefairy, Conkeldurr
Braviary, Primarina, Incineroar, Dracozolt, Clefairy, Conkeldurr
Gyarados, Raichu, Chandelure, Excadrill, Tyranitar, Conkeldurr
Garbodor, Incineroar, Gastrodon, Charizard, Ferrothorn, Mimikyu
Ninetales-Alola, Lapras, Durant, Incineroar, Gothitelle, Gengar
Cinderace, Ferrothorn, Rhyperior, Gastrodon, Dusknoir, Drampa
Silvally-*, Inteleon, Drifblim, Mimikyu, Sableye, Hitmontop
Duraludon, Conkeldurr, Chandelure, Sylveon, Inteleon, Whimsicott
Araquanid, Lapras, Gothitelle, Conkeldurr, Togedemaru, Alcremie
Whimsicott, Chandelure, Togekiss, Jellicent, Excadrill, Gyarados
Jolteon, Togekiss, Ninetales, Venusaur, Hippowdon, Lapras
Torkoal, Rhyperior, Dusclops, Venusaur, Charizard, Togekiss
Inteleon, Dracozolt, Excadrill, Incineroar, Togekiss, Sylveon
Torkoal, Charizard, Venusaur, Rhyperior, Dusclops, Gastrodon
Mantine, Raichu, Pelipper, Ferrothorn, Dracovish, Mimikyu
Incineroar, Cinderace, Toxapex, Togekiss, Lapras, Corviknight
Ninetales-Alola, Lapras, Durant, Incineroar, Gothitelle, Gengar
Mimikyu, Rotom-Wash, Dragapult, Bisharp, Arcanine, Goodra
Dragapult, Mimikyu, Dusclops, Primarina, Ferrothorn, Arcanine
Whimsicott, Charizard, Venusaur, Dusclops, Hatterene, Ninetales
Dusclops, Lapras, Togekiss, Roserade, Conkeldurr, Incineroar
Espeon, Blastoise, Pangoro, Raichu, Conkeldurr, Alcremie
Drapion, Corviknight, Hippowdon, Goodra, Arcanine, Roserade
Mamoswine, Whimsicott, Chandelure, Conkeldurr, Dracozolt, Rotom-Wash
Charizard, Torkoal, Whimsicott, Dracovish, Venusaur, Sableye
Dusclops, Togekiss, Primarina, Dhelmise, Incineroar, Conkeldurr
Rotom-Mow, Tyranitar, Togekiss, Excadrill, Gastrodon, Arcanine
Dracovish, Gastrodon, Rhyperior, Togekiss, Conkeldurr, Whimsicott
Whimsicott, Incineroar, Gastrodon, Haxorus, Togekiss, Bisharp
Sableye, Tsareena, Noivern, Lapras, Seismitoad, Malamar
Machamp, Togekiss, Incineroar, Inteleon, Whimsicott, Oranguru
Duraludon, Togekiss, Conkeldurr, Whimsicott, Rotom-Wash, Dragapult
Mimikyu, Rotom-Wash, Dragapult, Bisharp, Arcanine, Goodra
Lapras, Mimikyu, Dusclops, Torkoal, Conkeldurr, Darmanitan-Galar
Dragapult, Coalossal, Gastrodon, Dusclops, Conkeldurr, Togekiss
Sirfetch'd, Dusclops, Arcanine, Rotom-Wash, Indeedee-F, Rhyperior
Milotic, Durant, Grimmsnarl, Dusclops, Sirfetch'd, Salazzle
Boltund, Ferrothorn, Mamoswine, Clefairy, Incineroar, Lapras
Whimsicott, Dracovish, Gengar, Gardevoir, Duraludon, Hitmontop
Jolteon, Togekiss, Pelipper, Drednaw, Dragapult, Ferrothorn
Charizard, Diggersby, Milotic, Torkoal, Venusaur, Dusclops
